iter	Passed	Remaining
0	94	94268
1	94	47318
2	95	31662
3	95	23829
4	96	19130
5	96	15998
6	97	13761
7	97	12082
8	97	10776
9	98	9731
10	98	8876
11	99	8164
12	99	7561
13	100	7044
14	100	6597
15	100	6208
16	101	5865
17	101	5559
18	102	5288
19	102	5043
20	103	4821
21	103	4619
22	105	4474
23	105	4304
24	106	4151
25	106	4007
26	107	3873
27	107	3746
28	108	3631
29	109	3525
30	109	3426
31	110	3331
32	110	3243
33	111	3160
34	111	3080
35	112	3004
36	112	2933
37	113	2865
38	113	2800
39	114	2738
40	114	2679
41	114	2622
42	115	2568
43	115	2517
44	116	2468
45	116	2420
46	117	2375
47	117	2332
48	118	2292
49	118	2253
50	119	2215
51	119	2178
52	119	2142
53	120	2108
54	120	2075
55	121	2043
56	121	2012
57	122	1982
58	122	1954
59	122	1926
60	123	1899
61	123	1873
62	124	1848
63	124	1823
64	125	1799
65	125	1776
66	126	1754
67	126	1734
68	127	1713
69	127	1693
70	127	1673
71	128	1654
72	128	1635
73	129	1616
74	129	1598
75	130	1581
76	130	1564
77	130	1547
78	131	1531
79	131	1515
80	132	1499
81	132	1484
82	132	1467
83	133	1453
84	133	1439
85	134	1425
86	134	1412
87	135	1399
88	135	1387
89	135	1374
90	136	1362
91	136	1350
92	137	1338
93	137	1327
94	138	1315
95	138	1304
96	138	1293
97	139	1283
98	139	1272
99	140	1262
100	140	1252
101	141	1242
102	141	1232
103	141	1223
104	142	1213
105	142	1204
106	143	1195
107	143	1186
108	144	1178
109	144	1170
110	145	1161
111	145	1153
112	145	1145
113	146	1137
114	146	1129
115	147	1121
116	147	1113
117	147	1105
118	148	1098
119	148	1091
120	149	1084
121	149	1076
122	150	1069
123	150	1062
124	150	1056
125	151	1049
126	151	1042
127	152	1036
128	152	1029
129	153	1024
130	153	1018
131	153	1012
132	154	1006
133	154	1000
134	155	994
135	155	988
136	156	983
137	156	977
138	156	972
139	157	966
140	157	961
141	158	955
142	158	949
143	158	944
144	159	939
145	159	934
146	160	929
147	160	924
148	161	919
149	161	915
150	161	910
151	162	906
152	162	901
153	163	897
154	163	892
155	164	888
156	165	887
157	165	882
158	166	878
159	166	874
160	166	869
161	167	865
162	167	861
163	168	856
164	168	852
165	168	848
166	169	845
167	169	841
168	170	837
169	170	833
170	171	830
171	171	826
172	172	822
173	172	819
174	172	815
175	173	811
176	173	808
177	174	804
178	174	801
179	175	797
180	175	794
181	176	791
182	176	787
183	176	784
184	177	781
185	177	777
186	178	774
187	178	771
188	179	768
